,time,open,high,low,close
74,1601304300.0,10886.15,10889.24,10886.15,10889.24
75,1601304600.0,10881.0,10881.0,10873.81,10873.81
76,1601304900.0,10872.97,10876.1,10872.97,10873.74
77,1601305200.0,10869.05,10869.05,10869.05,10869.05
78,1601305500.0,10888.91,10895.33,10883.62,10883.62
79,1601305800.0,10883.62,10883.62,10883.62,10883.62
80,1601306100.0,10900.17,10902.13,10898.8,10902.13
81,1601306400.0,10902.13,10902.13,10902.13,10902.13
82,1601306700.0,10890.8,10893.62,10887.69,10887.69
83,1601307000.0,10893.62,10898.83,10893.62,10898.83
84,1601307300.0,10902.69,10907.48,10902.69,10903.66
85,1601307600.0,10903.66,10903.66,10903.66,10903.66
86,1601307900.0,10902.83,10903.74,10901.3,10903.74
87,1601308200.0,10884.21,10902.56,10884.21,10902.56
88,1601308500.0,10901.07,10901.14,10896.81,10896.81
89,1601308800.0,10902.59,10903.02,10891.21,10892.72
90,1601309100.0,10893.46,10893.46,10877.8,10877.8
91,1601309400.0,10877.8,10877.8,10877.8,10877.8
92,1601309700.0,10871.67,10878.5,10871.67,10878.5
93,1601310000.0,10889.56,10889.56,10889.56,10889.56
94,1601310300.0,10889.99,10889.99,10889.99,10889.99
95,1601310600.0,10889.99,10889.99,10889.99,10889.99
96,1601310900.0,10889.99,10889.99,10889.99,10889.99
97,1601311200.0,10886.13,10895.54,10884.93,10894.99
98,1601311200.0,10876.28,10895.94,10876.27,10890.91
99,1601311500.0,10890.92,10895.95,10888.78,10892.26
100,1601311800.0,10892.26,10900.0,10883.79,10893.63
